epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.062,2.25297,6.40185,1.47997,0.00103,0.00036,0.00058,0.00045,1.98918,6.58796,1.21937,2.23029e-05,2.23029e-05,2.23029e-05
2,262.504,2.14685,5.51831,1.27092,0.61029,0.02579,0.01608,0.00858,1.92953,5.63259,1.1664,4.31632e-05,4.31632e-05,4.31632e-05
3,411.052,2.07504,4.69486,1.24214,0.62525,0.04155,0.02755,0.01498,1.86275,5.2086,1.1487,6.25496e-05,6.25496e-05,6.25496e-05
4,541.466,2.02979,4.24432,1.21723,0.75635,0.04668,0.04843,0.02925,1.81558,4.7621,1.11488,6.0367e-05,6.0367e-05,6.0367e-05
5,668.544,1.9272,3.92778,1.1797,0.74535,0.05508,0.06136,0.03915,1.76549,4.53603,1.12981,5.8156e-05,5.8156e-05,5.8156e-05
6,795.506,1.90189,3.71936,1.18212,0.81189,0.06318,0.07805,0.04947,1.69856,4.38934,1.09177,5.5945e-05,5.5945e-05,5.5945e-05
7,923.62,1.88252,3.4538,1.17208,0.75776,0.08486,0.08853,0.05921,1.66641,4.27112,1.07827,5.3734e-05,5.3734e-05,5.3734e-05
8,1050.19,1.81176,3.33612,1.15368,0.80187,0.09095,0.10405,0.06936,1.64934,4.16866,1.08491,5.1523e-05,5.1523e-05,5.1523e-05
9,1177.5,1.79141,3.29237,1.14963,0.84918,0.08487,0.12178,0.08064,1.64154,4.04761,1.07422,4.9312e-05,4.9312e-05,4.9312e-05
10,1303.64,1.75978,3.11738,1.13553,0.81495,0.11441,0.14361,0.09742,1.61305,3.90506,1.06673,4.7101e-05,4.7101e-05,4.7101e-05
11,1429.32,1.73091,3.05496,1.13105,0.79522,0.14366,0.18096,0.12449,1.58853,3.82345,1.06298,4.489e-05,4.489e-05,4.489e-05
12,1559.13,1.72978,2.99403,1.12469,0.79006,0.15028,0.19103,0.13013,1.60051,3.84784,1.06806,4.2679e-05,4.2679e-05,4.2679e-05
13,1688.4,1.71772,2.99394,1.12219,0.80029,0.15732,0.19819,0.13526,1.57983,3.73625,1.05797,4.0468e-05,4.0468e-05,4.0468e-05
14,1816.41,1.72571,2.92562,1.12252,0.78167,0.17772,0.21774,0.14924,1.55622,3.70635,1.05744,3.8257e-05,3.8257e-05,3.8257e-05
15,1945.73,1.70791,2.87944,1.11871,0.7274,0.2184,0.22945,0.1557,1.54728,3.62536,1.04916,3.6046e-05,3.6046e-05,3.6046e-05
16,2072.64,1.69528,2.86244,1.11418,0.71899,0.21327,0.2251,0.15039,1.5467,3.60761,1.04836,3.3835e-05,3.3835e-05,3.3835e-05
17,2201.7,1.65369,2.75971,1.09817,0.71908,0.23076,0.22866,0.15257,1.54631,3.65306,1.04703,3.1624e-05,3.1624e-05,3.1624e-05
18,2332.1,1.66395,2.78155,1.10813,0.75684,0.21267,0.2292,0.15297,1.5477,3.60511,1.04313,2.9413e-05,2.9413e-05,2.9413e-05
19,2458.98,1.6468,2.67444,1.11183,0.72383,0.21958,0.23856,0.16319,1.51796,3.57827,1.03618,2.7202e-05,2.7202e-05,2.7202e-05
20,2579.61,1.63437,2.65529,1.09734,0.73734,0.22784,0.24304,0.1663,1.52353,3.52024,1.0403,2.4991e-05,2.4991e-05,2.4991e-05
21,2722.74,1.64462,2.91187,1.11941,0.74526,0.20305,0.22724,0.14848,1.55902,3.81219,1.05038,2.278e-05,2.278e-05,2.278e-05
22,2852.45,1.63658,2.85844,1.11459,0.8204,0.18883,0.23168,0.15117,1.54882,3.75032,1.04487,2.0569e-05,2.0569e-05,2.0569e-05
23,2979.25,1.61096,2.7359,1.10188,0.79979,0.2023,0.2444,0.16255,1.53338,3.6723,1.04398,1.8358e-05,1.8358e-05,1.8358e-05
24,3104.47,1.6011,2.80435,1.10028,0.78879,0.20917,0.24529,0.16548,1.52909,3.55497,1.0387,1.6147e-05,1.6147e-05,1.6147e-05
25,3231.64,1.60103,2.73408,1.10294,0.85282,0.18576,0.24506,0.16293,1.54761,3.60318,1.04273,1.3936e-05,1.3936e-05,1.3936e-05
26,3358.94,1.56774,2.73131,1.09019,0.79642,0.22474,0.2606,0.1742,1.52098,3.51159,1.03514,1.1725e-05,1.1725e-05,1.1725e-05
27,3483.79,1.5916,2.69292,1.09699,0.80629,0.22236,0.25865,0.17357,1.52429,3.47969,1.03602,9.514e-06,9.514e-06,9.514e-06
28,3610.38,1.55418,2.65649,1.08455,0.81635,0.21281,0.26011,0.17544,1.51589,3.49573,1.03385,7.303e-06,7.303e-06,7.303e-06
29,3735.43,1.56982,2.65892,1.08794,0.81788,0.2119,0.25741,0.17305,1.52625,3.45725,1.03512,5.092e-06,5.092e-06,5.092e-06
30,3862.71,1.57401,2.67161,1.08355,0.81569,0.20926,0.25879,0.17511,1.52342,3.4799,1.03454,2.881e-06,2.881e-06,2.881e-06
